H@Q@YiW: I?h]@eOWG, 
P????OGCHAgO__P?o__e?HG?: Q?gY@eOGGC?B_??@g_??DO?O?GW, Q?hY@eOGG??B_??@g???T?a??@g, S?GW@E?GG?GB_AO_g_?CP_??P?G`??O?S, S?`W@e?GG?GA_A??g?GCP?_O?KHO??`?C, S?hW@eOGG?GB_A?_G?GC???_??w?O_?AS, S?hW@eOGGC?A_A?@gO??GO???GW?AO?@c, U?HA@cAGGO?@_G??o@?_Bc??C@GG???gD?C?A??g, U?_W@a?OGCCAP??Bo??C@O?C?G_E????[g??CG?G, U?hW@eOGG?GA_A??g??C@?@??@gC???OS?GO??Og, U?hW@eOGG?GB_??_G?G?P?_??I??C???s?@A??BG, W?@G@cAGG??B_G??o@?_Bc??C@GC?@O?D??A?A?I?G?@??B, W?GW@e?O?CCAP??A`??_@_A??_S?@???W?o????yC????g@, W?H?@cA?GO?@_G??o@?_Bc??C@GG???gDA??GC?I?G?@??P, W?HA@_AGGO?@_G??o@?_Bc??C@GG???GCB???C?Y?G?@??P, W?_W@a?OGC?A@??Bo??C@O?C?G_E????\?A?G@?HO??AC?@, W?_W@a?OGCC?O??Bo??C@O?C?G_E????[CA??D?HO??AC?@, W?gW@eOGG?GA_A??g??C@?@??@_C???OTC????BG?O_??GP, W?gW@eOGG?GB_??___??@?_C?AI?A???K??_?A?Y??@?@A@, W?hW@eOGG?GA_A?_???C??@??@i?@??OS?A???KG?O_??GD, Y??A@_A?GO?@_G??o@?_Bc??C@IG?@O?C@???D?I?G?@_?@GC???_?G_, Y??G?EOG??GB_AO_g_?CPA??P?H???@?Cg???C?OA?C???F_?A?D???_, Y??G?c?GG?GB_AO_g_?CPa????H???G?KO?CA??k@???G?@G??@CG??_, Y??I@_A?GO?@_G??o@?_Bc??C@IG?@??C@???D?I?G?@??HGC???_?G_, Y??W@E??G?GB_AO_g_?CP_??O?H?_???CG???O?X??@???hCG??A?A?_, Y??W@e?O?CCAP??A`???@_A??_S?@???W?o????xO??A?A@O_???@O?_, Y?@?@cA?GO?@_G??o@?_Bc??C@GG???gD???GC?HO???O?DO@??A??__, Y?@?@cAGGO?@_G??o@?_Bc??C@IC?@??CG?@?C?GG????_BO@??A??A_, Y?@?@cAGGO?@_G??o@?_Bc??C@IC?@O???O????wG????_DO@??A??A_, Y?@G@CAGG??B_G??o@?_Bc??C@GC?@O?@??A?A?Ga?????XO@??A??C_, Y?@G@_A?GO?@_G??o@?_Bc??C@IC???GD?C?I??GA???A?HGC???_?A_, Y?@G@c??GO?B_G??o@?_Bc??C@IC??O?D?C????X???_C?@GC???_?@_, Y?@G@c??GOG@_G??o@?_Bc??C@IC????CG?@?D?H??A?C?@GC???_?@_, Y?@G@c?GG??B_G??o@?_Bc??C@GC??O?D??A?A?H??A?S?@O@??A??C_, Y?@G@cA?G??B_G??o@?_Bc??C@G??@O?D??A?A?H?_??O?PO@??A??C_, Y?@G@cAGG??@_G??o@?_Bc??C@GC?@??CG?@?D?I??C?@?@O@??A??@_, Y?GA?cAGGO?A_G??o@?_Bc??C@I?G@A?DC???A??G????_BA??A???K_, Y?GA@_A?G?G@_G??o@?_Bc??C@GW???GC@???C?YG??@@?@GC???_?G_, Y?GG@e?O?CCAP??A`??_@_A??_S?????W?o????wg????CPO_???@O?_, Y?GI?cAGG??A_G??o@?_Bc??C@I?G@A?CC???B?A??@?@?@A??@???K_, Y?GW?e?O?CCAO??A`??_@_A??_S?@???W?o????xA???_O@O_???@O?_, Y?GW?e?O?CCAP??A`??_?_A??_S?@???W?o????xA????E@O_???@O?_, Y?GW@AOOGC??@??Bo??C@O?C?G_E????\???G@?KO??AG?@?D????_G_, Y?H??eO?G??B_AOC?_?CPG@??BK??@???K?????wO?C?G?HO_??C?G?_, Y?H?@_A?GO?@_G??o@?_Bc??C@GG???gDA??G??GE???A?BO@??A??__, Y?H?@_AGGO?@_G??o@?_Bc??C@GG???GCB?????YC???A?BO@??A??__, Y?H?@c??GO?@_G??o@?_Bc??C@GG???gDA???C?H???_S?@O@??A??__, Y?H?@cA?GO?@_G??o@?_Bc??C@GG???GD???GC?GC?@?A?HO@??A??__, Y?HA?c?GGO?@_G??o@?_Bc??C@GG???GC`???g???_A???FO@??A??__, Y?HA@?AGGO?@_G??o@?_Bc??C@GG???GCB?????Wa???A?BO@??A??__, Y?HA@_A?GO?@_G??o@?_Bc??C@GG???GC@???C?Y?G?@??PGC???_?G_, Y?HA@_AG?O?@_G??o@?_Bc??C@GG???GCA???C?Y?G?@??P?O?G?K??_, Y?HI@cAGG?GA???@o@?G@?G??AC_????]??GC?@GOO???O@?AO???C@_, Y?_W?C?G??GB_AO_g_?CP_G?_?Ga???_?O_?A?@GA???C?HG??A???o_, Y?_W@a??GC??@??Bo??C@O?C?G_E????\?O?G@?I?C??A_@I???CG??_, Y?_W@a??GCC?O??Ao??C@O?C?G_E????[CA??D?I?_???g@I???CG??_, Y?_W@a??GCC?O??Bo??C@O?C?G_E????\?O?@??G?g???OBI???CG??_, Y?_W@a??GCCAO??Ao??C@O?C?G_E????\?O??@O?GC????FI???CG??_, Y?_W@a?OGC??@??Bo??C@O?C?G_E????\???G@?HO??AC?@?D????_G_, Y?_W@a?OGCC????Bo??C@O?C?G_E????[CA??C?I?C???_BI???CG??_, Y?_W@aOO?C??@??Bo??C@O?C?G_E????[g???K?I???C?_@?D????_A_, Y?_W@e?GG???_A??g?GCP?_O?GG????GL?C?@??i??C?A_@I???CG??_, Y?_W@e?GG??A_A??g?GCP?_O?GI????GC?C?@??i??@???hI???CG??_, Y?gG@aOOGC??@??Bo??C@O?C?G_E????\????@?H???a_?@?D????_G_, Y?gO@aOO?C??@??Bo??C@O?C?G_E????\???G@?GW???E?@?D????_G_, Y?gW?_OOGC??@??Bo??C@O?C?G_E????\???G@?K@??CG?@?D????_G_, Y?gW?aOOGC?????Bo??C@O?C?G_E????\???G@?HA???_O@?D????_G_, Y?gW@eOGG??A_A??g??C@?@??@_C???OTC????AI?G????b?AC???O__, Y?gW@eOGG??A_A??g??CP?@??@_CA??OTC?????G?G????bO??A??AC_, Y?gW@eOGG??A_A??g?GCP?_O?GG????GH???@??i??C??_@???o???H_, Y?gW@eOGG??A_A?_G_??HO@??GQ?A?C????K???g?C????J?A?O??OA_, Y?gW@eOGG??A_A?_g??CP?A??@iG??????C???AY?????_H???o???I_, Y?gW@eOGG??B_??_g_??@????AI?A??OGA?G???w?G???B@O??A?AC?_, Y?gW@eOGG?GA_A??_??C@?@??@_C???OTC????@I?@???@B?AC???O__, Y?gW@eOGG?GA_A??g??CP?@??@_CA??OCC????@G??@??@HO??A??AC_, Y?gW@eOGG?GB???___??@?_C?AI?A???G??_?A?[?C????XO??G?AC?_, Y?gW@eOGG?GB_???__??@?_C?AI?A???C??_?A?WCA????hO??G?AC?_, Y?gW@eOGG?GB_??___??@?_C?AA?????K??_?A?W?AC??@`O??G?AC?_, Y?hW@aOGGC?A_??@g???G?_??AG?OG?@OB?????y????@A@??OA??K?_, Y?hW@eOGG??A_A?_???C??@??@I?@??OS?A???KI?G???C`?AC???OG_, Y?hW@eOGG?GA_A??_??C??@??@i?@???C??o??AWC???@?H?AC???OA_, Y?hW@eOGG?GA_A?_???C?????@i????OS?A???KG?GO??CP?AC???OG_, Y?hW@eOGG?GA_A?_???C??@??@I?@???S?A???KG?OA??C`?AC???OG_, Y?hW@eOGG?GA_A?_???C??@??@_?@??OT??A??BG?C???E@?AC???OA_, Y?hW@eOGG?GA_A?_???C??@??@i?@??OC?A???CG?@?_?@H?AC???OG_, Y?hW@eOGGC?A_??@g???G?_??AG?OG?@C?G???AY?????AD??OA??K?_, 
P???KA?AHAGGCGH@G`?SCCc?: Q?hY@eOGG??B_??@g???T?a??@g, S?hW@eOGG??B_?O@g???C?a???wC@??Oc, S?hW@eOGG?GB_A?_G?GC???_??w?O_?AS, U??G@eOGG?GB_AO_g_?CP_??C?@O????[O?CA?AG, U?hW@aOGGC?A_?O@g???X?_??AG?OG?@OB?????w, U?hW@eOGG?GB_A?_G???P?_??A??B???[?@C??EG, W??W?EOG??GB_AO_g_?CPa??P?H???@?Cg???C?OA?C???F, W?@A@cAGGOGA_G??o@?_Bc??C@GG???O?g?????wO?C??_H, W?gW@eOGG?GB_A?_G???@?_??A??B???[?@C??EIG???@A@, W?hW@aOGGC?A_??@g???H?_??AG?OG?@OB?????y?A??@A@, W?hW@eOGG?GB_??_????P?_??A??B???[?@C??EI?@??@O@, W?hW@eOGGC?A_AO??O??W??_??y????G??@@??Gg?AO???X, Y??G?EOG??GB_AO_g_?CPA??P?H???@?Cg???C?OA?C???F_?A?D???_, Y??G@cAGG?GB_G??o@?_Bc??C@IC?@??CC???A??O?A???FO??GA??C_, Y??O?COG??GB_AO_g_?CPa??P?H???@?Cg???C?OA?C???F_G??B???_, Y??W?EO???GB_AO_g_?CPa??P?GO??@?C`?????H??C?A?BGC?????S_, Y??W@C??G?GB_AO_g_?CP_G?O?KO??`?C?O??O?@O?????FG??G??@C_, Y??W@CO???GB_AO_g_?CPa??P?K@??O?C_???C?G?_????LG??A?G?C_, Y?@?@cA?GOGA_G??o@?_Bc??C@GG???O?g?????wO?C??_HO_??GC??_, Y?@A?cAGGO?A_G??o@?_Bc??C@GG???O?g?????wO?C??_HO@??GO??_, Y?@A@_AGGOG?_G??o@?_Bc??C@GG???O?g?????wO?C??_H?o???D??_, Y?@A@c?GGOGA_G??o@?_Bc??C@GG???O?g?????wO?C???H?g???@?@_, Y?HG?_AGGO?B_G??o@?_Bc??C@I?G@??CA???O?I??@?G?@?_?@???S_, Y?HG@_AG?OGB_G??o@?_Bc??C@I????_C@???G??C?C???F?_?G???S_, Y?gW@aO?GCCA@??BO??C@O?C?G_E????\?????_I?C???GA?C?G???B_, Y?gW@eOGG??A_A??g?GCP?_O?GG????GH???@??i??C??_@???o???H_, Y?gW@eOGG??A_A?__??CP?B??@G?G??@HC?????I?@????RO??_???S_, Y?gW@eOGG??A_A?_g??CP?A??@iG??????C???AY?????_H???o???I_, Y?gW@eOGG??B_??_g???O?_C?AI?A??OL?????C?G@????F?@?G??GC_, Y?gW@eOGG??B_A?_G???@?_??A??B???[?@C??EIG???@?@O@????C@_, Y?gW@eOGG?GA_??___??P?_C?AG?A??OK??_?@?A??C???FO??G?A?C_, Y?gW@eOGG?GA_A?_G?????_??A??B???[?@C??EIG???@A@?B????K?_, Y?gW@eOGG?GB_A?_????@?_??A??B???[?@C??EIG????A@O?G??A?@_, Y?gW@eOGG?GB_A?_G?????_??A??B???[?@C??EI????@A@@??A??K?_, Y?gW@eOGG?GB_A?_G???@?_??A??B???[?@C??AGG???@A@O??A??CC_, Y?hW@aOGGC??_??@g???H?_??AG?OG?@OB?????y?A??@A??D?????B_, Y?hW@aOGGC?A_???g???H?_??AG?OG?@OB?????y?A???A@?A?@?@O?_, Y?hW@aOGGC?A_??@g???@?_??AG?OG?@OB?????w?A??@A@O??A?@C?_, Y?hW@aOGGC?A_??@g???G?_??AG?OG?@OB?????y????@A@??OA??K?_, Y?hW@aOGGC?A_?O?GO??D?A??AGE????s?C???OG?G????b?A?G??OA_, Y?hW@eOGG??@_???G???C?a???wC@??Od?@????G?_?_?g@?@?C??o?_, Y?hW@eOGG??@_??@G???C?a???wC@??Od????@?G?_???GD??o????E_, Y?hW@eOGG??A_AO??O??W??_??q????G??@@??Gg?AO???X?a????B?_, Y?hW@eOGG??B_??_????O?_??A??B???[?@C??EI?@??@O@O@????K?_, Y?hW@eOGG??B_??_????P?_??A??B???[?@C??EI?@??@?@O@????_@_, Y?hW@eOGG?GB_??_????@?_??A??B???[?@C??EG?@??@O@O??A?AC?_, Y?hW@eOGGC?A_A?@?O??H??G?A??O_??\?????OI??????b??OA??AG_, Y?hW@eOGGC?A_AO?????W?????y????G??@@??Gg?AO???X?_G???a?_, YCHG?C?GGOGAD??Bo??@@_G?A?O?P???[A??C??@A?????FO??G?O?C_, 
P??G_KID?oC@OD_GOGA?@G?S: Q?hY@eOGG??B_??@g???T?a??@g, 
P??G_SW@_gG@OC_GOG@?DG@O: Q?gY@eOGGC?B_??@g_??DO?O?GW, 
P??WOOPC_GGH_aGCCCA?@_?S: Q?gY@eOGGC?B_??@g_??DO?O?GW, 
P??WOcCA?_CIGaOAOAA@@_GO: Q?gY@eOGGC?B_??@g_??DO?O?GW, 
P??WOcCA?_GK_gGEG@C?_G?K: Q?gY@eOGGC?B_??@g_??DO?O?GW, 
P??WOcGCGGGH_aGCCCA?A_?K: Q?hY@eOGG??B_??@g???T?a??@g, 
P??WOcOAGGOSOC_OC@Q?OG?S: Q?hY@eOGG??B_??@g???T?a??@g, 
P??WOcOAGGOSOQGCC@A?@_?S: Q?hY@eOGG??B_??@g???T?a??@g, 
